Library_ID	Run_ID	Filename	md5sum
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_G01	m150519_150250_42161_c100803362550000001823173210081526_s1_p0.metadata.xml	e07051e8b5f10629c64faab8dfd9396f
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_G01	m150519_150250_42161_c100803362550000001823173210081526_s1_p0.bas.h5	e7a015e55eb5d7f37e024b8a28a6abca
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_G01	m150519_150250_42161_c100803362550000001823173210081526_s1_p0.3.bax.h5	b786b0e9fc9b4c1a565c70516565265e
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_G01	m150519_150250_42161_c100803362550000001823173210081526_s1_p0.2.bax.h5	258602961122680f500b043ec59dea7e
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_G01	m150519_150250_42161_c100803362550000001823173210081526_s1_p0.1.bax.h5	132ef69b8d4fb3e4c87f02dcd5aa4c1f
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_G01	m150519_152325_42142_c100803382550000001823173210081506_s1_p0.metadata.xml	2a7aced4e08503fe126734a9db097b18
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_G01	m150519_152325_42142_c100803382550000001823173210081506_s1_p0.bas.h5	06d64dba4e8e342f547efe02e1f6561d
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_G01	m150519_152325_42142_c100803382550000001823173210081506_s1_p0.3.bax.h5	ace6bcf1b6be716fd1488edb85fc507c
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_G01	m150519_152325_42142_c100803382550000001823173210081506_s1_p0.2.bax.h5	c870561ae1400837705b94194336d1fd
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_G01	m150519_152325_42142_c100803382550000001823173210081506_s1_p0.1.bax.h5	1e2a10eeb43fadfb5d24bf84933fa9f9
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_F01	m150519_084014_42161_c100803362550000001823173210081525_s1_p0.metadata.xml	42b81a5a1a2fce3c51d5347aa08045ec
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_F01	m150519_084014_42161_c100803362550000001823173210081525_s1_p0.bas.h5	cf6d29997b441f3012e398dd4d95b1a9
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_F01	m150519_084014_42161_c100803362550000001823173210081525_s1_p0.3.bax.h5	3b9410c55c691e67ef1119c65b1a0b08
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_F01	m150519_084014_42161_c100803362550000001823173210081525_s1_p0.2.bax.h5	dbf7e1d04e8a099a34699fc7297de52a
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_F01	m150519_084014_42161_c100803362550000001823173210081525_s1_p0.1.bax.h5	431733891ef8045d19170c589bfbd75b
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_F01	m150519_085718_42142_c100803382550000001823173210081505_s1_p0.metadata.xml	347006720babd72c94b89f9a31ece2ff
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_F01	m150519_085718_42142_c100803382550000001823173210081505_s1_p0.bas.h5	5319bed87261b9c8145ca9b057c1b008
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_F01	m150519_085718_42142_c100803382550000001823173210081505_s1_p0.3.bax.h5	f5a345c908e386b4206664e5b11f0d60
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_F01	m150519_085718_42142_c100803382550000001823173210081505_s1_p0.2.bax.h5	26d155cbf85691c937feea9fe4f762e2
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_F01	m150519_085718_42142_c100803382550000001823173210081505_s1_p0.1.bax.h5	53e06154213530491dbf729061b89921
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_E01	m150519_021948_42161_c100803362550000001823173210081524_s1_p0.metadata.xml	67387e0f1fde2f51ab9d782daaae9f69
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_E01	m150519_021948_42161_c100803362550000001823173210081524_s1_p0.bas.h5	96948fb4af91179c01f8d65fa126882a
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_E01	m150519_021948_42161_c100803362550000001823173210081524_s1_p0.3.bax.h5	48ad310138b365a56a6c95f2aea99c67
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_E01	m150519_021948_42161_c100803362550000001823173210081524_s1_p0.2.bax.h5	9fffaf4d286b72096382d66cac126268
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42161_CZHM1_Lib3_Run19_E01	m150519_021948_42161_c100803362550000001823173210081524_s1_p0.1.bax.h5	c166655f248a713ad224e90db02ee533
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_E01	m150519_023331_42142_c100803382550000001823173210081504_s1_p0.metadata.xml	263fbf83c42669f5c72e809e250fc09a
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_E01	m150519_023331_42142_c100803382550000001823173210081504_s1_p0.bas.h5	e14ac61ca5072ca5a12f605638a7f8e3
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_E01	m150519_023331_42142_c100803382550000001823173210081504_s1_p0.3.bax.h5	b538161edaade6b9c6e280dc98916d1a
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_E01	m150519_023331_42142_c100803382550000001823173210081504_s1_p0.2.bax.h5	392c784733b5a3fa787b7a8aa8273b33
CHM1-Lib3_P6C4_14pM	2015-05-17_RS42142_CHM1_Lib3_Run19_E01	m150519_023331_42142_c100803382550000001823173210081504_s1_p0.1.bax.h5	2aa1ad45e72dfe5a70e4e8b5f7fedd3a
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_H01	m150518_221047_42271_c100803292550000001823173210081527_s1_p0.metadata.xml	ea2962b5d5172417ef6fb95fe16cd484
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_H01	m150518_221047_42271_c100803292550000001823173210081527_s1_p0.bas.h5	c619801895612e285dfbbd5657a8f722
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_H01	m150518_221047_42271_c100803292550000001823173210081527_s1_p0.3.bax.h5	876793b195d07defc0b63d703eb9fb7f
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_H01	m150518_221047_42271_c100803292550000001823173210081527_s1_p0.2.bax.h5	11e2b6c433454db964f0696951877bdf
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_H01	m150518_221047_42271_c100803292550000001823173210081527_s1_p0.1.bax.h5	2bc1af7b5d89ae1bc36afed5ed0c4cd4
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_H01	m150518_212557_42265_c100803552550000001823173210081577_s1_p0.metadata.xml	adf50db26be31bb13616796d5303a5c9
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_H01	m150518_212557_42265_c100803552550000001823173210081577_s1_p0.bas.h5	c4389f64f0bf4967b9ccaaa30845333f
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_H01	m150518_212557_42265_c100803552550000001823173210081577_s1_p0.3.bax.h5	ca82e20f3b450317e7fe2515c1db7cff
